,Smiles,Change-Energy
0,CCC(CC)O[N+]([O-])=O,-86.2391799999989
1,Oc1cc(Br)cc(C=O)c1,-76.91690999999923
2,CCC(O)(COC(N)=O)c1ccccc1,-145.8159799999985
3,CC(O)C(O)=O,-54.29573999999934
4,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-208.19781999999805
5,OC(=O)c1c(Cl)cccc1Cl,-77.49786999999924
6,OC(=O)c1c(Cl)ccc(Cl)c1Cl,-76.85975999999937
7,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-162.7837899999995
8,S=C1N=CNc2nc[nH]c12,-83.5999399999996
9,CNCCCN1c2ccccc2CCc3ccccc13,-207.74906999999803
10,CN(C)CCC=C1c2ccccc2CCc3ccccc13,-217.145599999998
11,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,-413.37296000001334
12,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,-157.73154999999997
13,NCCc1c[nH]c2ccc(O)cc12,-127.66829999999845
14,OCC(O)C(O)C(O)C(O)CO,-112.64543999999842
15,OC(=O)c1cc(Cl)c(Cl)cc1Cl,-76.83900999999969
16,OC(=O)c1ccc(Cl)cc1Cl,-77.63622999999939
17,OCC1OC(O)C(O)C(O)C1O,-107.53418999999894
18,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-244.5107399999988
19,[nH]1cnc2ccccc12,-84.2985599999995
20,BrC1=CNC(=O)NC1=O,-66.91189999999938
21,CN1[C@@H]2CC(C[C@H]1C3OC23)OC(=O)[C@H](CO)c4ccccc4,-209.6889699999988
22,CNC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O,-192.96408000000793
23,CNC[C@H](O)c1ccc(O)c(O)c1,-124.72107999999844
24,CCCC1=CC(=O)NC(=S)N1,-104.11902999999916
25,COc1ccc(NC(C)=O)cc1,-114.85310999999865
26,CN(CCCl)CCCl,-77.1968899999988
27,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,-252.76300999999876
28,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,-287.9295100000136
