,Smiles,Change-Energy
0,CC(C)(C)CO,-73.54462999999987
1,CN=C=S,-33.62765999999999
2,C1OCOCO1,-53.11211999999932
3,CC(N)=O,-41.87965000000008
4,CC(O)CNCC(C)O,-102.0566499999984
5,NC(=O)C=C,-48.67538999999988
6,NC(N)=S,-37.64608999999996
7,COC(=O)C(=O)OC,-66.28884999999968
8,NCC(O)=O,-47.001360000000204
9,NCCC(O)=O,-59.662159999999176
10,CC(C)(N)C(O)=O,-72.42057999999906
11,C\C=C\C(O)=O,-56.11310999999955
12,OC(O)C(Cl)(Cl)Cl,-38.63348999999948
13,CC(C)C1CCC(C)CC1O,-131.86700999999766
14,NC(=N)NC#N,-57.27645999999993
15,OC1COC(O)C(O)C1O,-89.75513999999839
16,CCCCOC(N)=O,-85.05676999999878
17,CC1=CCC(CC1)C(C)(C)O,-126.58629999999789
18,CC(N)C(O)=O,-59.70054999999934
19,CC(C)COC(N)=O,-85.11681999999882
20,CC(=C)C1CC=C(C)C(O)C1,-120.90656999999851
21,S=C1NCCN1,-57.566499999999905
22,CC(C)(C)OC(N)=O,-85.37107999999876
23,CCCCCCCCCCCCCCO,-187.29264999999623
24,NCCCCCC(O)=O,-97.6292999999987
25,OCC(O)C(O)C(O)C(O)CO,-112.60175999999865
26,CC1(C)C2CCC1(C)C(O)C2,-126.51889999999821
27,CCC(N)C(O)=O,-72.31117999999924
28,OCC1OC(O)C(O)C(O)C1O,1814.0195100000012
29,C\C=C\C=C\C(O)=O,-75.9268299999992
30,OC(=O)CC(O)=O,-54.99103999999966
31,CC(C)C(N)C(O)=O,-84.96140999999875
32,CCCCCCCCCC(O)=O,-137.67689999999766
33,OC(=O)C1CCCN1,-79.81435999999894
34,CCCCC(N)C(O)=O,-97.61424999999872
35,CC(C)CC(N)C(O)=O,-97.65343999999891
36,NC(CS)C(O)=O,-62.83063999999922
37,OC(=O)CCCC(O)=O,-80.48267999999916
38,OC1CNC(C1)C(O)=O,-85.00085999999897
39,CC(O)C(N)C(O)=O,-77.50365999999872
40,CCN(N=O)C(N)=O,-74.58884999999941
