,Smiles,Change-Energy
0,CC(C)C,-55.604330000000004
1,CCC(C)(C)C,-80.92921999999999
2,CC(C)C(C)C,-80.88438999999994
3,CCC(C)CC,-80.87295999999992
4,CC1CCCC1,-75.87294000000009
5,CCCC,-55.57066000000009
6,CCCCC,-68.20948999999996
7,CCCCCC,-80.90497000000005
8,C1CCCCC1,-75.9213299999999
9,CCCCCCCC,-106.15574999999922
10,CCCCCCCCCCCC,-156.80160999999725
11,CCCCCCC,-93.54625999999996
12,C1CCCC1,-63.155149999999935
13,C1CCCCCCC1,-100.88203999999928
14,CC(C)(C)C,-68.33607000000006
15,CCCCCCCCCCCCCC,-182.01063999999678
16,ClC(Cl)(Cl)Cl,-13.859100000000126
17,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-71.7582399999992
18,ClC(Cl)Cl,-14.806530000000066
19,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-25.06962999999996
20,CC(Cl)(Cl)Cl,-27.970549999999776
21,CBr,-16.08978000000002
22,CCl,-16.686370000000068
23,CI,-15.60695000000004
24,BrCBr,-14.515750000000025
25,CCBr,-28.83036000000004
26,ClCBr,-15.09662000000003
27,CCCl,-29.534639999999968
28,CCI,-28.21874000000014
29,ClCCl,-15.746400000000108
30,ICI,-13.439420000000041
31,CC(C)Cl,-42.40926000000013
32,CC(Cl)Cl,-28.778850000000148
33,CC(F)F,-31.422729999999774
34,FC(Cl)Cl,-16.34707000000003
35,FC(F)Cl,-17.911769999999706
36,FC(F)F,-19.473579999999856
37,FC(F)(F)Br,-18.146850000000086
38,FC(Cl)(Cl)Cl,-15.57571999999982
39,FC(F)(Cl)Cl,-17.28408999999988
40,FC(F)(F)Cl,-18.959890000000087
41,ClC(Cl)C(Cl)(Cl)Cl,-26.007820000000038
42,FC(F)(Cl)C(F)(Cl)Cl,-29.776099999999587
43,FC(F)(Cl)C(F)(F)Cl,-31.316059999999652
44,ClCC(Cl)Cl,-27.85140999999976
45,ClC(Cl)C(Cl)Cl,-26.928049999999985
46,BrCCBr,-27.33890000000008
47,CCCBr,-41.48603000000003
48,ClCCCl,-28.69457
49,BrC1CCCCC1,-74.60209000000009
50,CCCCBr,-54.09613000000002
51,CCCCCl,-54.874050000000125
52,ClCCCBr,-40.786939999999845
53,CCCCCBr,-66.82635999999991
54,CCCCCCBr,-79.48582999999985
55,CCCCCCCCBr,-104.76687999999808
56,ClCCCCl,-41.41826000000003
57,FC(F)(F)C(Cl)Br,-30.020689999999377
58,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-71.94485999999915
59,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-71.56333999999924
60,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-71.83480999999938
61,CCCCl,-42.21905000000004
62,CF,-17.681529999999952
63,CCCCCCCBr,-92.15022999999837
64,CCCCCCCCl,-92.84749999999826
65,CCCCCCCI,-91.5922199999984
66,CCC=C,-49.849519999999984
67,C=CC=C,-44.13791000000003
68,C1CCC=CC1,-70.36471000000006
69,CCCCCCC=C,-100.50287999999932
70,CC(C)=C,-50.06867
71,CCCCCCCC=C,-113.13591999999812
72,C1C=CC=CC=C1,-71.96137999999996
73,C\C=C/C,-50.00765000000001
74,C=CCC=C,-56.790970000000016
75,CCCCC=C,-75.13256999999987
76,C=CCCC=C,-69.44718
77,CCCCCC=C,-87.7753899999999
78,C\C=C\C,-50.05141000000003
79,C1C=CCC=C1,-64.83818999999994
80,ClC(Cl)=C,-22.88823000000002
81,FC(F)=C,-25.699059999999918
82,ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl,-47.211689999999635
83,ClC=C(Cl)Cl,-22.02841000000012
84,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-39.29226999999992
85,BrCC=C,-35.67958999999996
86,ClC(Cl)=C(Cl)Cl,-21.12770999999998
87,Cl\C=C/Cl,-22.884040000000027
88,Cl\C=C\Cl,-22.896100000000047
89,Cl\C=C\Cl,-22.896380000000022
90,BrC=C,-22.974310000000003
91,BrCCC=C,-48.42133999999999
92,Br\C=C\Br,-21.544489999999996
93,CCCC#C,-56.68392999999992
94,CCOCC,-60.46480999999994
95,CCOC(C)OCC,-90.96915999999851
96,CC(C)OC(C)C,-86.01434999999901
97,CC(C)OCCO,-78.4815499999986
98,COCCO,-52.876039999999875
99,COCOC,-52.224770000000035
100,CCOC=C,-54.838789999999904
101,C1CCOC1,-55.48718999999994
102,COCCOC,-65.10136999999895
103,CCOCCO,-65.65992999999912
104,C1OCOCO1,-53.10738999999944
105,CCCOCCC,-85.77002999999877
106,ClCCOCCCl,-58.99789999999916
107,CCCCOCCO,-90.98540999999841
108,CCOCCOCCO,-95.78293999999869
109,COCCOCCOC,-95.37089999999853
110,CCCCCCOCCO,-116.3245899999979
111,CCOCCOCCOCC,-120.78747999999814
112,CCCCOCCOCCCC,-141.26135999999724
113,CCCCOCCOCCOCCCC,-171.4472399999977
114,COC,-34.92317000000003
115,CC1OC(C)OC(C)O1,-91.72470999999905
116,C1COCCO1,-60.32969999999932
117,C1CCOCC1,-68.24138999999991
118,CCCCOCCCC,-111.08724999999777
119,CCOCOCC,-78.06393999999909
120,CCOCCOCC,-90.65470999999843
121,C1COCO1,-47.84469999999999
122,COC(C)(C)C,-73.27102999999977
123,FC(F)OC(F)(F)C(F)Cl,-50.63731999999982
124,FC(F)OC(Cl)C(F)(F)F,-50.725009999999656
125,CCN(CC)N=O,-75.71626999999921
126,O=NN1CCOCC1,-75.62889999999902
127,CN(C)N=O,-50.36148999999989
128,O=NN(c1ccccc1)c2ccccc2,-135.908359999999
129,Oc1ccc2ccccc2c1N=O,-110.43366999999944
130,Oc1c(ccc2ccccc12)N=O,-110.42868999999928
131,CC(C)N(N=O)C(C)C,-101.1550799999984
132,CCCN(CCC)N=O,-101.14556999999854
133,CCCCN(CCCC)N=O,-126.35114999999792
134,CCCCN(CC)N=O,-101.0912299999984
135,CCCCN(C)N=O,-88.41614999999865
136,CCN(C)N=O,-62.997979999999416
137,ClCCN(CCCl)[P]1(=O)NCCCO1,-128.07159999999885
138,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-137.5696899999989
139,CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-83.31720999999925
140,CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,-143.54981999999927
141,CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,-154.02689999999893
142,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-104.7625799999987
143,CNC(=O)CS[P](=S)(OC)OC,-106.05396999999903
144,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-123.89783999999963
145,CO[P](=O)(OC)OC=C(Cl)Cl,-79.36699999999928
146,CNC(=O)Oc1cccc2ccccc12,-137.623959999999
147,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-124.37415999999939
148,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-174.22699999999895
149,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-138.3751499999994
150,Clc1ccc(cc1)C(=C(Cl)Cl)c2ccc(Cl)cc2,-132.8727199999994
151,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-99.728329999999
152,CCCCS[P](=O)(SCCCC)SCCCC,-181.04634999999735
153,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,-205.30058999999983
154,CO[P](=S)(OC)SCN1N=Nc2ccccc2C1=O,-159.51651000000038
155,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,-143.83502999999928
156,CC(Oc1ccc(Cl)cc1C)C(O)=O,-121.49054999999862
157,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(O)=O,-107.24059999999963
158,OC(=O)COc1cc(Cl)c(Cl)cc1Cl,-94.41584999999941
159,OC(=O)COc1ccc(Cl)cc1Cl,-95.1599299999989
160,OC(=O)CCCOc1ccc(Cl)cc1Cl,-120.77561999999853
161,CC(O[P](C)(F)=O)C(C)(C)C,-115.12225999999828
162,CCO[P](=S)(OCC)Oc1ccc(Cl)cc1Cl,-139.05628999999863
163,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,-118.59139999999934
164,CC(C)OC(=O)Nc1cccc(Cl)c1,-127.29581999999891
165,CN(C)C(=O)Nc1ccccc1,-120.35773999999833
166,CC(CCl)OC(C)CCl,-84.49717999999893
167,CNC(=O)Oc1ccccc1OC(C)C,-145.25430999999844
168,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-142.87003999999888
169,CCO[P](=S)(OCC)Oc1ccc(cc1)[S](C)=O,-161.17720999999892
170,CNC(=O)O\N=C\C(C)(C)SC,-117.73693999999841
171,CC(Oc1ccc(Cl)cc1Cl)C(O)=O,-107.97277999999915
172,CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC,-169.6062199999992
173,CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O,-141.20877999999902
174,CCNc1nc(Cl)nc(NCC)n1,-126.58911999999918
175,CC(C)OC(=O)Nc1ccccc1,-127.90891999999849
176,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,-115.79932000000008
177,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-152.11865999999827
178,CO[P](=O)(OC)OC(/C)=C/C(=O)N(C)C,-142.99815999999873
179,CN(C)C(=O)Nc1ccc(Cl)cc1,-119.73438999999826
180,CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O,-128.49554999999918
181,CCO[P](=S)(OCC)SCSCC,-123.52338999999847
182,CCO[P](=S)(OCC)SCCSCC,-136.25121999999828
183,CO[P](=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-112.67947999999978
184,CO[P](=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,-144.1256599999988
185,CN[P](=O)(OC)Oc1ccc(cc1Cl)C(C)(C)C,-172.16517999999814
186,CO[P](=O)(OC)OC(Br)C(Cl)(Cl)Br,-82.160609999999
187,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-119.7557499999989
188,CCO[P](=O)(OCC)Oc1ccc(cc1)[N+]([O-])=O,-156.0966899999994
189,CCC(C)N1C(=O)NC(=C(Br)C1=O)C,-130.36494999999832
190,CCO[P](=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-132.40149999999903
191,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-119.03351999999904
