Smiles,Change-Energy
OCC(O)CO,-58.66143999999918
NC(CC(O)=O)C(O)=O,-78.40259999999944
N[C@@H](CCC(N)=O)C(O)=O,-96.51026999999884
NC(CCC(O)=O)C(O)=O,-91.06045999999924
NCCCCC(N)C(O)=O,-108.2115199999987
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-121.019209999999
OCC(O)CO[P](O)(O)=O,-85.38555999999926
C=CCN=C=S,-53.25405999999998
CCCCCCCCCCCCCCCCCC(O)=O,-238.80307999999604
CN(C)N,-50.83127000000002
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-171.5167799999999
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,-185.14318999999801
OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,-107.46133999999891
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-204.77049000000991
CC(O)CO,-53.45855000000017
O=C1CCO1,-42.56460000000004
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,-221.9253299999987
NC(N)=N[S](=O)(=O)c1ccc(N)cc1,-125.83601999999884
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-104.705449999999
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-264.2018699999985
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-326.6635199999969
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@H]2O,-208.132349999998
CN=C1CN(O)C(=C2C=C(Cl)C=CC2=N1)c3ccccc3,-185.42844999999943
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,-241.4117499999984
OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23,-164.82785999999942
OC1COC(O)C(O)C1O,-89.51636999999846
OCC1OC(O)C(O)C(O)C1O,-107.71576999999887
CCN(CC)C(=O)c1cccnc1,-132.88131999999814
O=C1Nc2ccccc2C=C1,-99.76208999999879
Nc1ccc(cc1)[S](=O)(=O)Nc2cnc3ccccc3n2,-183.38186
[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,-177.4367599999987
Cc1ccccc1OCC(O)CO,-126.63058999999794
Cc1cc(O)ccc1Cl,-77.95278999999937
CSCCC(N)C(O)=O,-88.11022999999884
OCC(S)CS,-54.658959999999524
OCC1OC(O[P](O)(O)=O)C(O)C(O)C1O,-134.33667000000014
O=NN1CCOCC1,-75.56670999999892
NC(Cc1ccc(O)c(O)c1)C(O)=O,-125.81553999999868
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,-176.35739000000012
Nc1ccc(cc1)N=Nc2ccccc2,-142.15420999999878
NC(Cc1ccc(O)cc1)C(O)=O,-120.55645999999842
OCCS,-38.75154999999995
NCCCCCC(O)=O,-97.6701399999988
CNN,-38.30788000000007
CC(N)=O,-41.88247000000001
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,-287.3119600000091
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-123.99382999999945
COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,-229.03342999999813
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(O)=O)C(O)C3O,-193.19406000000527
Cc1cccc(Nc2ccccc2C(O)=O)c1C,-171.12036999999827
[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,-191.93863999999888
Nc1[nH]ncn1,-57.44709
CC(C)CC(N)C(O)=O,-97.68505999999887
CC(C)(N)C(O)=O,-72.42112999999905
C/C=C(/C)C(=O)O[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(O)C[C@H](O)[C@@]6(O)[C@@H](CN7C[C@@H](C)CC[C@H]7[C@@]6(C)O)[C@]5(O)C[C@]24O[C@]13O,-423.4273300000168
CO[P](=O)(OC)OC=C(Cl)Cl,-79.37179999999898
[Na+].[O-]C(=O)CF,-34.88868999999977
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-204.77829000000926
COC(=O)C1=CCCN(C)C1,-111.8340899999987
NC(Cc1ccccc1)C(O)=O,-115.11962999999857
CNC(=O)Oc1cccc(c1)C(C)C,-140.30832999999802
CCO,-35.482270000000085
OC=O,-23.413350000000037
CC(O)=O,-36.42049000000009
CCC(C)C(C)(COC(N)=O)COC(N)=O,-165.0623299999979
COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O,-267.8236500000112
CSCCC(NC(C)=O)C(O)=O,-114.23072999999886
N[C@@H](Cc1cc(I)c(O)c(I)c1)C(O)=O,-116.28446999999916
c1cnc2c(c1)ccc3cccnc23,-127.17299999999908
Cc1ncc(CO)c(C=O)c1O,-107.24672999999892
[O-][N+](=O)c1oc(cc1)/C=N/N2CC(=O)NC2=O,-131.13778000000002
CC(=O)N/N=C/c1oc(cc1)[N+]([O-])=O,-112.47865999999884
CO,-22.63686000000001
CC(C)O,-48.255330000000065
CC(C)=O,-43.317380000000064
C[S](C)=O,-38.1960600000001
CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3,-178.1862499999989
OC(=O)CS,-39.628369999999904
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,-226.7827199999984
Nc1ccc(cc1)[S](=O)(=O)Nc2ncccn2,-148.20253000000002
O=C1N=CNc2nc[nH]c12,-86.00426999999969
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,-218.53084
OCC(O)C(O)C(O)C(O)CO,-112.73128999999835
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-204.85963000000905
O=C1NC(=O)C2=C(N1)NC(=O)N2,-98.31529999999977
Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl,-135.02377000000024
[O-][N+](=O)c1ccc(F)c(c1)[N+]([O-])=O,-87.86679999999978
NC(CC(N)=O)C(O)=O,-83.85059999999908
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,-401.24624000001677
NC(Cc1[nH]cnc1)C(O)=O,-103.73933999999895
CCCO,-48.1450900000001
NC1=CC=NC(=O)N1,-73.37614999999983
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4,-540.9399599999597
[Na+].CC(O)C([O-])=O,-50.70989999999985
CC(O)C(N)C(O)=O,-77.60461999999895
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-124.38583999999945
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-174.22599999999875
Oc1ccc2C(=O)c3ccccc3C(=O)c2c1O,-147.6922899999995
CCc1ccc(cc1)C(C(Cl)Cl)c2ccc(CC)cc2,-190.62594999999828
NC(Cc1c[nH]c2ccccc12)C(O)=O,-141.03561999999874
Nc1ncnc2nc[nH]c12,-91.3169199999993
CC[C@H](C)[C@H](N)C(O)=O,-97.60803999999894
N[S](=O)(=O)c1cc2c(NC(Cc3ccccc3)N[S]2(=O)=O)cc1C(F)(F)F,-211.55042000000503
CCC1NC(=O)c2cc(c(Cl)cc2N1)[S](N)(=O)=O,-152.70673999999917
NC(CCCN=C(N)N)C(O)=O,-124.76797999999826
C,-17.605459999999994
CC,-30.230760000000032
C=C,-24.322730000000032
C#C,-18.448129999999992
CN,-28.108389999999986
C#N,-17.629009999999994
CCC,-42.89868000000007
CC#C,-31.389909999999986
ClC=C,-23.681359999999927
CCN,-40.908409999999996
CC#N,-30.593340000000072
NC=O,-28.886879999999906
ON=C,-27.098509999999923
CSC,-33.35597000000007
C1CO1,-28.94608000000005
BrC(Br)Br,-12.919739999999932
CC(C)Br,-41.60127
ClC(Cl)Br,-14.10717000000011
CC(C)I,-41.01821999999993
CC(C)N,-53.52914999999996
IC(I)I,-11.129400000000034
CC1CN1,-47.31776000000002
C[As](C)(O)=O,-46.728360000000066
CC(C)(C)N,-66.3637399999999
CC(C)(C)O,-61.11783000000014
CC(F)(F)Cl,-31.13389999999981
FC(F)(F)F,-20.58227000000011
C[S](O)(=O)=O,-37.16571999999975
CC(C)(O)C#N,-61.25710000000004
FC(F)(F)CCl,-31.72687999999971
OCC(F)(F)F,-37.73669999999971
[O-]C(=O)C(Br)(Br)Br,-26.59398000000033
CC(=O)C(C)(C)C,-81.2875499999991
CC(C)(C)C(O)=O,-74.42830999999887
CC(Cl)(Cl)C(O)=O,-47.45870999999988
CC(O)C(Cl)(Cl)Cl,-45.90188999999941
OC(=O)C(Cl)(Cl)Cl,-33.48865999999998
OC(=O)C(F)(F)Cl,-36.57097999999996
OC(=O)C(F)(F)F,-38.1178500000001
FC(F)(Cl)C(Cl)(Cl)Cl,-28.30359999999973
FC(Cl)(Cl)C(F)(Cl)Cl,-28.226360000000113
FC(F)(F)C(F)(F)Cl,-32.840740000000096
FC(F)(F)C(F)(F)F,-34.308689999999835
CC1(C)C2CCC1(C)C(=O)C2,-121.48392999999874
OC1(C(=O)NC(=O)NC1=O)C2(O)C(=O)NC(=O)NC2=O,-153.52267000000163
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,-295.1855700000124
CC(C)(CO)[N+]([O-])=O,-74.587669999999
CC(Cl)C(Cl)(Cl)C(O)O,-64.58031999999912
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-99.72867999999926
COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,-212.1749399999985
CCOc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,-224.95644999999882
Cc1cc(ccc1N)C(O)(c2ccc(N)cc2)c3ccc(N)cc3,-234.95733999999948
OC(c1ccccc1)(c2ccccc2)c3ccccc3,-189.03650999999851
CC1(C(=O)NC(=O)NC1=O)c2ccccc2,-142.41017999999985
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,-207.94990000000053
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,-157.30845999999883
N[S](=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-177.11038000000053
CC(CO)(CO)[N+]([O-])=O,-79.71514999999954
CCC(C)(O)CC,-86.3222899999987
CCC(C)(O)C#C,-74.6574299999993
CCO[P](=O)(C#N)N(C)C,-98.57806999999912
NC(CO)(CO)CO,-81.99980999999843
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,-281.2333000000117
OC(=O)CC(O)(CC(O)=O)C(O)=O,-104.41066
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,-179.4705399999994
CCC(CO)(CO)CO,-96.55007999999815
[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,-139.52780000000442
CCC(C)(CC)OC(N)=O,-110.57017999999813
Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,-241.3372400000003
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,-190.33076999999776
CCCCO[P](=O)(CCCC)OCCCC,-181.98693999999801
CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,-278.513770000016
CO[P](=S)(OC)SCc1nc(N)nc(N)n1,-141.68104999999926
CC1=CC(=O)CC(C)(C)C1,-109.03194999999846
CC(C)(N=NC(C)(C)C#N)C#N,-122.04744999999866
CC(C)=CCCC(C)(O)C=C,-125.84730999999806
