,Smiles,Energy
0,CCC(CC)O[N+]([O-])=O,-1831.59518
1,Oc1cc(Br)cc(C=O)c1,-1739.74402
2,CCC(O)(COC(N)=O)c1ccccc1,-2626.39634
3,CC(O)C(O)=O,-1336.12692
4,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-3126.67126
5,OC(=O)c1c(Cl)cccc1Cl,-2038.33855
6,OC(=O)c1c(Cl)ccc(Cl)c1Cl,-2291.88031
7,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-3286.16739
8,S=C1N=CNc2nc[nH]c12,-1588.54637
9,CNCCCN1c2ccccc2CCc3ccccc13,-2879.84251
10,CN(C)CCC=C1c2ccccc2CCc3ccccc13,-2952.76416
11,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,-7621.90386
12,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,-3789.47489
13,NCCc1c[nH]c2ccc(O)cc12,-2057.7816
14,OCC(O)C(O)C(O)C(O)CO,-2698.44802
15,OC(=O)c1cc(Cl)c(Cl)cc1Cl,-2291.85956
16,OC(=O)c1ccc(Cl)cc1Cl,-2038.47691
17,OCC1OC(O)C(O)C(O)C1O,-2671.19655
18,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4214.50072
19,[nH]1cnc2ccccc12,-1312.53972
20,BrC1=CNC(=O)NC1=O,-1717.84609
21,CN1[C@@H]2CC(C[C@H]1C3OC23)OC(=O)[C@H](CO)c4ccccc4,-3737.61343
22,CNC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O,-4688.01664
23,CNC[C@H](O)c1ccc(O)c(O)c1,-2352.84658
24,CCCC1=CC(=O)NC(=S)N1,-1840.06102
