,Smiles,Energy
0,CC(C)C,-626.93471
1,CCC(C)(C)C,-926.85468
2,CC(C)C(C)C,-926.80985
3,CCC(C)CC,-926.79842
4,CC1CCCC1,-899.65818
5,CCCC,-626.90104
6,CCCCC,-776.83741
7,CCCCCC,-926.83043
8,C1CCCCC1,-899.70657
9,CCCCCCCC,-1226.67629
10,CCCCCCCCCCCC,-1826.51231
11,CCCCCCC,-1076.76926
12,C1CCCC1,-749.64285
13,C1CCCCCCC1,-1199.26236
14,CC(C)(C)C,-776.96399
15,CCCCCCCCCCCCCC,-2126.31642
16,ClC(Cl)(Cl)Cl,-1190.01634
17,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.6227
18,ClC(Cl)Cl,-936.7839
19,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-1846.88415
20,CC(Cl)(Cl)Cl,-1087.24546
21,CBr,-385.87371
22,CCl,-430.304
23,CI,-386.88251
24,BrCBr,-594.64585
25,CCBr,-535.91183
26,ClCBr,-639.06042
27,CCCl,-580.44981
28,CCI,-536.79184
29,ClCCl,-683.5439
30,ICI,-596.55278
31,CC(C)Cl,-730.62197
32,CC(Cl)Cl,-833.87389
33,CC(F)F,-1231.40999
34,FC(Cl)Cl,-1135.77055
35,FC(F)Cl,-1334.78136
36,FC(F)F,-1533.78928
37,FC(F)(F)Br,-1742.80872
38,FC(Cl)(Cl)Cl,-1389.17907
39,FC(F)(Cl)Cl,-1588.33355
40,FC(F)(F)Cl,-1787.45546
41,ClC(Cl)C(Cl)(Cl)Cl,-1593.64247
42,FC(F)(Cl)C(F)(Cl)Cl,-2443.92895
43,FC(F)(Cl)C(F)(F)Cl,-2642.91502
44,ClCC(Cl)Cl,-1087.12632
45,ClC(Cl)C(Cl)Cl,-1340.38283
46,BrCCBr,-744.76654
47,CCCBr,-685.86504
48,ClCCCl,-833.78961
49,BrC1CCCCC1,-1108.7335
50,CCCCBr,-835.77268
51,CCCCCl,-880.3843
52,ClCCCBr,-939.34582
53,CCCCCBr,-985.80045
54,CCCCCCBr,-1135.75746
55,CCCCCCCCBr,-1435.63359
56,ClCCCCl,-983.81084
57,FC(F)(F)C(Cl)Br,-2146.15997
58,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.80932
59,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.4278
60,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.69927
61,CCCCl,-730.43176
62,CF,-628.74527
63,CCCCCCCBr,-1285.7194
64,CCCCCCCCl,-1330.25037
65,CCCCCCCI,-1286.65302
66,CCC=C,-599.03968
67,C=CC=C,-571.18785
68,C1CCC=CC1,-872.00973
69,CCCCCCC=C,-1198.8832
70,CC(C)=C,-599.25883
71,CCCCCCCC=C,-1348.81378
72,C1C=CC=CC=C1,-966.6235
73,C\C=C/C,-599.19781
74,C=CCC=C,-721.13845
75,CCCCC=C,-898.91781
76,C=CCCC=C,-871.0922
77,CCCCCC=C,-1048.85817
78,C\C=C\C,-599.24157
79,C1C=CCC=C1,-844.34299
80,ClC(Cl)=C,-805.84305
81,FC(F)=C,-1203.5461
82,ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl,-2214.49817
83,ClC=C(Cl)Cl,-1059.1631
84,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-2091.42143
85,BrCC=C,-657.91838
86,ClC(Cl)=C(Cl)Cl,-1312.44227
87,Cl\C=C/Cl,-805.83886
88,Cl\C=C\Cl,-805.85092
89,Cl\C=C\Cl,-805.8512
90,BrC=C,-507.91556
91,BrCCC=C,-807.95767
92,Br\C=C\Br,-716.83191
93,CCCC#C,-721.03141
94,CCOCC,-921.77471
95,CCOC(C)OCC,-1516.85366
96,CC(C)OC(C)C,-1221.91933
97,CC(C)OCCO,-1367.06851
98,COCCO,-1066.86792
99,COCOC,-1066.21665
100,CCOC=C,-894.00847
101,C1CCOC1,-894.65687
102,COCCOC,-1216.39079
103,CCOCCO,-1216.94935
104,C1OCOCO1,-1334.93857
105,CCCOCCC,-1221.67501
106,ClCCOCCCl,-1428.66754
107,CCCCOCCO,-1516.86991
108,CCOCCOCCO,-1811.64696
109,COCCOCCOC,-1811.23492
110,CCCCCCOCCO,-1816.80417
111,CCOCCOCCOCC,-2111.24658
112,CCCCOCCOCCCC,-2116.33602
113,CCCCOCCOCCOCCCC,-2711.0965
114,COC,-621.63799
115,CC1OC(C)OC(C)O1,-1785.44851
116,C1COCCO1,-1189.4789
117,C1CCOCC1,-1044.70861
118,CCCCOCCCC,-1521.58731
119,CCOCOCC,-1366.6509
120,CCOCCOCC,-1516.53921
121,C1COCO1,-1039.69636
122,COC(C)(C)C,-1071.87847
123,FC(F)OC(F)(F)C(F)Cl,-3286.95945
124,FC(F)OC(Cl)C(F)(F)F,-3287.04714
125,CCN(CC)N=O,-1292.74543
126,O=NN1CCOCC1,-1560.49736
127,CN(C)N=O,-992.79557
128,O=NN(c1ccccc1)c2ccccc2,-2274.19608
129,Oc1ccc2ccccc2c1N=O,-2097.31631
130,Oc1c(ccc2ccccc12)N=O,-2097.31133
131,CC(C)N(N=O)C(C)C,-1592.77932
132,CCCN(CCC)N=O,-1592.76981
133,CCCCN(CCCC)N=O,-1892.57047
134,CCCCN(CC)N=O,-1592.71547
135,CCCCN(C)N=O,-1442.74285
136,CCN(C)N=O,-1142.7296
137,ClCCN(CCCl)[P]1(=O)NCCCO1,-2737.01101
138,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-3175.65306
139,CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-2758.78365
140,CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,-2848.60323
141,CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,-3432.388
142,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-3444.75628
143,CNC(=O)CS[P](=S)(OC)OC,-2379.97008
144,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-3475.82596
145,CC(=O)O[Hg]c1ccccc1,-1709.81676
146,CO[P](=O)(OC)OC=C(Cl)Cl,-2478.51335
147,CNC(=O)Oc1cccc2ccccc12,-2399.10168
148,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-3476.30228
149,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-3558.50475
150,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-2922.27865
151,Clc1ccc(cc1)C(=C(Cl)Cl)c2ccc(Cl)cc2,-2894.636
152,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-3163.40194
153,CCCCS[P](=O)(SCCCC)SCCCC,-2842.73755
154,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,-3730.32951
155,CO[P](=S)(OC)SCN1N=Nc2ccccc2C1=O,-3364.93848
156,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,-3233.86641
157,CC(Oc1ccc(Cl)cc1C)C(O)=O,-2530.0235
158,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(O)=O,-2886.83575
159,OC(=O)COc1cc(Cl)c(Cl)cc1Cl,-2736.71346
160,OC(=O)COc1ccc(Cl)cc1Cl,-2483.27767
161,OC(=O)CCCOc1ccc(Cl)cc1Cl,-2783.48844
162,CC(O[P](C)(F)=O)C(C)(C)C,-2311.60865
163,CCO[P](=S)(OCC)Oc1ccc(Cl)cc1Cl,-3179.02857
164,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,-2717.54629
165,CC(C)OC(=O)Nc1cccc(Cl)c1,-2434.77899
166,CN(C)C(=O)Nc1ccccc1,-1935.31372
167,CC(CCl)OC(C)CCl,-1728.7619
168,CNC(=O)Oc1ccccc1OC(C)C,-2625.83467
169,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-3470.93293
170,CCO[P](=S)(OCC)Oc1ccc(cc1)[S](C)=O,-3293.50768
171,CNC(=O)O\N=C\C(C)(C)SC,-2187.93889
172,CC(Oc1ccc(Cl)cc1Cl)C(O)=O,-2633.38806
173,CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC,-3788.87863
174,CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O,-3282.27234
175,CCNc1nc(Cl)nc(NCC)n1,-2220.07981
176,CC(C)OC(=O)Nc1ccccc1,-2181.21222
177,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,-2967.78556
178,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-2520.20443
179,CO[P](=O)(OC)OC(/C)=C/C(=O)N(C)C,-3039.74397
180,CN(C)C(=O)Nc1ccc(Cl)cc1,-2188.87024
181,CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O,-3132.26157
182,CCO[P](=S)(OCC)SCSCC,-2388.70641
183,CCO[P](=S)(OCC)SCCSCC,-2538.73178
184,CO[P](=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-3132.23655
185,CO[P](=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,-3083.04816
186,CN[P](=O)(OC)Oc1ccc(cc1Cl)C(C)(C)C,-3248.04154
187,CO[P](=O)(OC)OC(Br)C(Cl)(Cl)Br,-2924.13952
188,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-3181.70435
189,CCO[P](=O)(OCC)Oc1ccc(cc1)[N+]([O-])=O,-3550.99644
190,CCC(C)N1C(=O)NC(=C(Br)C1=O)C,-2467.78684
191,CCO[P](=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-3136.57413
192,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-2442.34924
193,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-2736.33778
194,CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3371.83674
195,CCO[P](=O)(OCC)OC(=C\Cl)/c1ccc(Cl)cc1Cl,-3823.51434
