,Smiles,Energy
0,CC(C)C,-626.93471
1,CCC(C)(C)C,-926.85468
2,CC(C)C(C)C,-926.80985
3,CCC(C)CC,-926.79842
4,CC1CCCC1,-899.65818
5,CCCC,-626.90104
6,CCCCC,-776.83741
7,C1CCCCC1,-899.70657
8,CCCCCCCC,-1226.67629
9,CCCCCCCCCCCC,-1826.51231
10,CCCCCCC,-1076.76926
11,C1CCCC1,-749.64285
12,CC(C)(C)C,-776.96399
13,ClC(Cl)(Cl)Cl,-1190.01634
14,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.6227
15,ClC(Cl)Cl,-936.7839
16,CC(Cl)(Cl)Cl,-1087.24546
17,CBr,-385.87371
18,CCl,-430.304
19,CI,-1846.88424
20,ClCBr,-639.06042
21,CCCl,-580.44981
22,CCI,-536.79184
23,ClCCl,-683.5439
24,CC(C)Cl,-730.62197
25,CC(Cl)Cl,-833.87389
26,CC(F)F,-1231.40999
27,FC(Cl)Cl,-1135.77055
28,FC(F)Cl,-1334.78136
29,FC(F)F,-1533.78928
30,FC(F)(F)Br,-1742.80872
31,FC(Cl)(Cl)Cl,-1389.17907
32,FC(F)(Cl)Cl,-1588.33355
33,FC(F)(F)Cl,-1787.45546
34,FC(F)(Cl)C(F)(Cl)Cl,-2443.92895
35,FC(F)(Cl)C(F)(F)Cl,-2642.91502
36,ClCC(Cl)Cl,-1087.12632
37,ClC(Cl)C(Cl)Cl,-1340.38283
38,BrCCBr,-744.76654
39,ClCCCl,-833.78961
40,CCCCBr,-835.77268
41,CCCCCl,-880.3843
42,CCCCCBr,-985.80045
43,ClCCCCl,-983.81084
44,FC(F)(F)C(Cl)Br,-2146.15997
45,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.80932
46,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.4278
47,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-2420.69927
48,CCCCl,-730.43176
49,CF,-628.74527
50,CCCCCCCBr,-1285.7194
51,CCCCCCCCl,-1330.25037
52,CCCCCCCI,-1286.65302
53,CCC=C,-599.03968
54,C=CC=C,-571.18785
55,C1CCC=CC1,-872.00973
56,CCCCCCC=C,-1198.8832
57,CC(C)=C,-599.25883
58,C1C=CC=CC=C1,-966.6235
59,C=CCC=C,-721.13845
60,CCCCC=C,-898.91781
61,C=CCCC=C,-871.0922
62,C\C=C\C,-599.24157
63,C1C=CCC=C1,-844.34299
64,ClC(Cl)=C,-805.84305
65,FC(F)=C,-1203.5461
66,ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl,-2214.49817
67,ClC=C(Cl)Cl,-1059.1631
68,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-2091.42143
69,BrCC=C,-657.91838
70,ClC(Cl)=C(Cl)Cl,-1312.44227
71,Cl\C=C/Cl,-805.83886
72,Cl\C=C\Cl,-805.85092
73,Cl\C=C\Cl,-805.8512
74,BrC=C,-507.91556
75,BrCCC=C,-807.95767
76,Br\C=C\Br,-716.83191
77,CCCC#C,-721.03141
78,CCOCC,-921.77471
79,CCOC(C)OCC,-1516.85366
80,CC(C)OC(C)C,-1221.91933
81,CC(C)OCCO,-1367.06851
82,COCCO,-1066.86792
83,COCOC,-1066.21665
84,CCOC=C,-894.00847
85,C1CCOC1,-894.65687
86,COCCOC,-1216.39079
87,CCOCCO,-1216.94935
88,C1OCOCO1,-1334.93857
89,CCCOCCC,-1221.67501
90,ClCCOCCCl,-1428.66754
91,CCCCOCCO,-1516.86991
92,CCOCCOCCO,-1811.64696
93,COCCOCCOC,-1811.23492
94,COC,-621.63799
95,C1CCOCC1,-1044.70861
96,CCCCOCCCC,-1521.58731
97,CCOCOCC,-1366.6509
98,CCOCCOCC,-1516.53921
99,C1COCO1,-1039.69636
100,COC(C)(C)C,-1071.87847
101,FC(F)OC(F)(F)C(F)Cl,-3286.95945
102,FC(F)OC(Cl)C(F)(F)F,-3287.04714
103,CCN(CC)N=O,-1292.74543
104,O=NN1CCOCC1,-1560.49736
105,CN(C)N=O,-992.79557
106,O=NN(c1ccccc1)c2ccccc2,-2274.19608
107,Oc1c(ccc2ccccc12)N=O,-2097.31133
108,CCCCN(CCCC)N=O,-1892.57047
109,CCCCN(C)N=O,-1442.74285
110,CCN(C)N=O,-1142.7296
111,ClCCN(CCCl)[P]1(=O)NCCCO1,-2737.01101
112,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-3175.65306
113,CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,-2758.78365
114,CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,-2848.60323
115,CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,-3432.388
116,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-3444.75628
117,CNC(=O)CS[P](=S)(OC)OC,-2379.97008
118,CC(=O)O[Hg]c1ccccc1,-1709.81676
119,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-3163.40194
120,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,-3730.32951
121,CO[P](=S)(OC)SCN1N=Nc2ccccc2C1=O,-3364.93848
122,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,-3233.86641
123,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(O)=O,-2886.83575
124,OC(=O)COc1cc(Cl)c(Cl)cc1Cl,-2736.71346
125,OC(=O)COc1ccc(Cl)cc1Cl,-2483.27767
126,OC(=O)CCCOc1ccc(Cl)cc1Cl,-2783.48844
127,CCO[P](=S)(OCC)Oc1ccc(Cl)cc1Cl,-3179.02857
128,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,-2717.54629
129,CC(C)OC(=O)Nc1cccc(Cl)c1,-2434.77899
130,CN(C)C(=O)Nc1ccccc1,-1935.31372
131,CC(CCl)OC(C)CCl,-1728.7619
132,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-3470.93293
133,CCO[P](=S)(OCC)Oc1ccc(cc1)[S](C)=O,-3293.50768
134,CC(Oc1ccc(Cl)cc1Cl)C(O)=O,-2633.38806
135,CC(C)OC(=O)Nc1ccccc1,-2181.21222
136,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,-2967.78556
137,CN(C)C(=O)Nc1ccc(Cl)cc1,-2188.87024
138,CCO[P](=S)(OCC)SCSCC,-2388.70641
139,CO[P](=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,-3083.04816
140,CO[P](=O)(OC)OC(Br)C(Cl)(Cl)Br,-2924.13952
141,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-3181.70435
142,CCO[P](=O)(OCC)Oc1ccc(cc1)[N+]([O-])=O,-3550.99644
143,CCC(C)N1C(=O)NC(=C(Br)C1=O)C,-2467.78684
144,CCO[P](=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-3136.57413
145,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-2442.34924
146,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-2736.33778
147,CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3371.83674
148,C1CC[C@H](NC1)c2cccnc2,-1789.66991
149,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-2892.26627
150,CN=C=S,-648.45269
151,CCO[P](=S)(OCC)SCS[P](=S)(OCC)OCC,-3647.22583
152,CCCCOC(N)=O,-1540.44413
153,COC(N)=O,-1090.44081
154,CCCOC(N)=O,-1390.46322
155,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-2242.88679
156,CO[P](=S)(OC)SCN1C(=O)c2ccccc2C1=O,-3411.56342
157,CCCN(CCC)C(=O)SCC,-2021.40594
158,CCNc1nc(NC(C)C)nc(SC)n1,-2443.56465
159,CCNc1nc(NC(C)(C)C)nc(SC)n1,-2593.62714
160,CO[P](=S)(OC)SCSc1ccc(Cl)cc1,-2832.88481
161,ClC1=C(Cl)C2(Cl)[C@H]3CO[S](=O)OC[C@H]3[C@]1(Cl)C2(Cl)Cl,-3849.93154
162,CO[P](=O)(OC)OC(=C/Cl)/c1cc(Cl)c(Cl)cc1Cl,-3776.62346
163,CCNc1nc(NCC)nc(SC)n1,-2293.61633
164,ClC1C2OC2C3C1C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,-3457.66597
165,CNC(=O)Oc1cccc(C)c1,-2031.01319
166,CNC(=O)O\N=C\C(C)(C)[S](C)(=O)=O,-2778.26835
167,NC1=C(Cl)C(=O)N(N=C1)c2ccccc2,-2456.12333
168,CON(C)C(=O)Nc1ccc(Cl)cc1,-2482.75609
169,[O-][N+](=O)c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,-3424.22179
170,COC(=O)c1c(Cl)c(Cl)c(c(Cl)c1Cl)C(=O)OC,-3558.11378
171,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,-2421.1257
172,CCNc1nc(Cl)nc(NC(C)C)n1,-2370.13404
173,CCNc1nc(Cl)nc(n1)N(CC)CC,-2519.79923
174,COc1c(Cl)ccc(Cl)c1C(O)=O,-2483.26975
175,CC(C)N(C(=O)CCl)c1ccccc1,-2288.80117
176,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2530.26426
177,CO[P](=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-3087.73454
178,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3442.54554
179,CCSC(=O)N1CCCCCC1,-1994.05702
180,CCCC(C)C(=O)Nc1ccc(C)c(Cl)c1,-2589.49974
181,CC(C)(C)c1ccc(OC2CCCCC2O[S](=O)OCC#C)cc1,-4041.33763
182,CNC(=O)Oc1ccc(C)c(C)c1,-2181.11309
183,CO[P](=S)(OC)Oc1ccc(cc1Cl)[N+]([O-])=O,-3385.63902
184,CNC(=O)Oc1cc(C)cc(c1)C(C)C,-2481.06631
185,CNC(=O)Oc1ccccc1C(C)C,-2330.88261
