,Unnamed: 0,Smiles,Change-Energy
0,0,OCC(O)CO,-58.66143999999918
1,1,NC(CC(O)=O)C(O)=O,-78.40259999999944
2,2,N[C@@H](CCC(N)=O)C(O)=O,-96.51026999999884
3,3,NC(CCC(O)=O)C(O)=O,-91.06045999999924
4,4,NCCCCC(N)C(O)=O,-108.2115199999987
5,5,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-121.019209999999
6,6,OCC(O)CO[P](O)(O)=O,-85.38555999999926
7,7,C=CCN=C=S,-53.25405999999998
8,8,CCCCCCCCCCCCCCCCCC(O)=O,-238.80307999999604
9,9,CN(C)N,-50.83127000000002
10,10,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-171.5167799999999
11,11,CCOC(=O)C1(CCN(C)CC1)c2ccccc2,-185.14318999999801
12,12,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,-107.46133999999891
13,13,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-204.77049000000991
14,14,CC(O)CO,-53.45855000000017
15,15,O=C1CCO1,-42.56460000000004
16,16,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,-221.9253299999987
17,17,NC(N)=N[S](=O)(=O)c1ccc(N)cc1,-125.83601999999884
18,18,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-104.705449999999
19,19,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-264.2018699999985
20,20,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-326.6635199999969
21,21,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@H]2O,-208.132349999998
22,22,CN=C1CN(O)C(=C2C=C(Cl)C=CC2=N1)c3ccccc3,-185.42844999999943
23,23,CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,-241.4117499999984
24,24,OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23,-164.82785999999942
25,25,OC1COC(O)C(O)C1O,-89.51636999999846
26,26,OCC1OC(O)C(O)C(O)C1O,-107.71576999999887
27,27,CCN(CC)C(=O)c1cccnc1,-132.88131999999814
28,28,O=C1Nc2ccccc2C=C1,-99.76208999999879
29,29,Nc1ccc(cc1)[S](=O)(=O)Nc2cnc3ccccc3n2,-183.38186000000002
30,30,[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,-177.4367599999987
31,31,Cc1ccccc1OCC(O)CO,-126.63058999999794
32,32,Cc1cc(O)ccc1Cl,-77.95278999999937
33,33,CSCCC(N)C(O)=O,-88.11022999999884
34,34,OCC(S)CS,-54.658959999999524
35,35,OCC1OC(O[P](O)(O)=O)C(O)C(O)C1O,-134.33667000000014
36,36,O=NN1CCOCC1,-75.56670999999892
37,37,NC(Cc1ccc(O)c(O)c1)C(O)=O,-125.81553999999868
38,38,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,-176.35739000000012
39,39,Nc1ccc(cc1)N=Nc2ccccc2,-142.15420999999878
40,40,NC(Cc1ccc(O)cc1)C(O)=O,-120.55645999999842
41,41,OCCS,-38.75154999999995
42,42,NCCCCCC(O)=O,-97.6701399999988
43,43,CNN,-38.30788000000007
44,44,CC(N)=O,-41.88247000000001
45,45,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,-287.3119600000091
46,46,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-123.99382999999945
47,47,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,-229.03342999999813
48,48,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(O)=O)C(O)C3O,-193.19406000000527
49,49,Cc1cccc(Nc2ccccc2C(O)=O)c1C,-171.12036999999827
50,50,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C,-191.93863999999888
51,51,Nc1[nH]ncn1,-57.44709
52,52,CC(C)CC(N)C(O)=O,-97.68505999999887
53,53,CC(C)(N)C(O)=O,-72.42112999999905
54,54,C/C=C(/C)C(=O)O[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(O)C[C@H](O)[C@@]6(O)[C@@H](CN7C[C@@H](C)CC[C@H]7[C@@]6(C)O)[C@]5(O)C[C@]24O[C@]13O,-423.4273300000168
55,55,CO[P](=O)(OC)OC=C(Cl)Cl,-79.37179999999898
56,56,[Na+].[O-]C(=O)CF,-34.88868999999977
57,57,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-204.77829000000926
58,58,COC(=O)C1=CCCN(C)C1,-111.8340899999987
59,59,NC(Cc1ccccc1)C(O)=O,-115.11962999999857
60,60,CNC(=O)Oc1cccc(c1)C(C)C,-140.30832999999802
61,61,CCO,-35.482270000000085
62,62,OC=O,-23.413350000000037
63,63,CC(O)=O,-36.42049000000009
64,64,CCC(C)C(C)(COC(N)=O)COC(N)=O,-165.0623299999979
65,65,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O,-267.8236500000112
66,66,CSCCC(NC(C)=O)C(O)=O,-114.23072999999886
